product_name,price,source,product_url,image_url
Thinkpad Edition Lenovo T400 Core 2 Duo Laptop With 2GB RAM//160GB HDD,Rs. 9999,olx.in,https://www.olx.in/item/thinkpad-edition-lenovo-t400-core-2-duo-laptop-with-2gb-ram-160gb-hdd-ID17btmv.html#d1c6af3941,https://img05.olx.in/images_olxin/224901891_2_144x108_thinkpad-edition-lenovo-t400-core-2-duo-laptop-with-2gb-ram-160gb-hdd-upload-photos_rev001.jpg
"Branded 19"" LCD Monitor core2duo cpu 2GB Ram 250GB HDD Good condtiion",Rs. 8000,olx.in,https://www.olx.in/item/branded-19-lcd-monitor-core2duo-cpu-2gb-ram-250gb-hdd-good-condtiion-ID1dlbc7.html#d1c6af3941,https://img02.olx.in/images_olxin/367903243_1_144x108_branded-19-lcd-monitor-core2duo-cpu-2gb-ram-250gb-hdd-good-condtiion-chennai.jpg
"4th gen Dual core 3.2ghz/4gb/500gb/19""Sasmung LCD",Rs. 12000,olx.in,https://www.olx.in/item/4th-gen-dual-core-3-2ghz-4gb-500gb-19-sasmung-lcd-ID1fo64z.html#d1c6af3941,https://img01.olx.in/images_olxin/419729643_1_144x108_4th-gen-dual-core-32ghz-4gb-500gb-19sasmung-lcd-bengaluru.jpg
"18""LCD+1YR WARRANTY 4GB Ram NEW 250gbhd Core2duo HIGHSPED ASUS Desktop",Rs. 7499,olx.in,https://www.olx.in/item/18-lcd-1yr-warranty-4gb-ram-new-250gbhd-core2duo-highsped-asus-desktop-ID186BYz.html#d1c6af3941,https://img04.olx.in/images_olxin/245094045_2_144x108_18lcd-1yr-warranty-4gb-ram-new-250gbhd-core2duo-highsped-asus-desktop-upload-photos_rev011.jpg
"1000GB, 4GB, 20 inch LCD, core2quad",Rs. 9500,olx.in,https://www.olx.in/item/1000gb-4gb-20-inch-lcd-core2quad-ID1fyWar.html#d1c6af3941,https://img01.olx.in/images_olxin/424265325_1_144x108_1000gb-4gb-20-inch-lcd-core2quad-jaipur.jpg
core 2 quad computer 500gb hard disk 4 gb ram,Rs. 15000,olx.in,https://www.olx.in/item/core-2-quad-computer-500gb-hard-disk-4-gb-ram-ID1fhBXB.html#d1c6af3941,https://img01.olx.in/images_olxin/417011529_1_144x108_core-2-quad-computer-500gb-hard-disk-4-gb-ram-delhi.jpg
Laptop + 16 GB pendrive + JBL bluetooth speaker,Rs. 20000,olx.in,https://www.olx.in/item/laptop-16-gb-pendrive-jbl-bluetooth-speaker-ID1fyW9x.html#d1c6af3941,https://img01.olx.in/images_olxin/424267869_1_144x108_laptop-16-gb-pendrive-jbl-bluetooth-speaker-jaipur.jpg
Description Amd a6 with 1gb graphics 500gb hard,Rs. 16000,olx.in,https://www.olx.in/item/description-amd-a6-with-1gb-graphics-500gb-hard-ID1fyW83.html#d1c6af3941,https://img01.olx.in/images_olxin/424268939_1_144x108_description-amd-a6-with-1gb-graphics-500gb-hard-kharar.jpg
"Full set Core2duo 500GB HDD 2GB Ram 19"" LCD Monitor warranty",Rs. 8500,olx.in,https://www.olx.in/item/full-set-core2duo-500gb-hdd-2gb-ram-19-lcd-monitor-warranty-ID1eI5DJ.html#d1c6af3941,https://img01.olx.in/images_olxin/402239765_1_144x108_full-set-core2duo-500gb-hdd-2gb-ram-19-lcd-monitor-warranty-chennai.jpg
Black Laptop Computer,Rs. 18500,olx.in,https://www.olx.in/item/black-laptop-computer-ID1fyW5F.html#d1c6af3941,https://img01.olx.in/images_olxin/424268567_1_144x108_black-laptop-computer-ottappalam.jpg
Lenovo L430 i5 3rd gen /4/320 Rs 15000,Rs. 15000,olx.in,https://www.olx.in/item/lenovo-l430-i5-3rd-gen-4-320-rs-15000-ID1cmDF5.html#d1c6af3941,https://img02.olx.in/images_olxin/344088731_1_144x108_lenovo-l430-i5-3rd-gen-4-320-rs-15000-bengaluru.jpg
I5 4th gen /4gb/ 500 gb/Dvd rw/ 19 Dell LED Rs 19000,Rs. 19000,olx.in,https://www.olx.in/item/i5-4th-gen-4gb-500-gb-dvd-rw-19-dell-led-rs-19000-ID1cmFvX.html#d1c6af3941,https://img02.olx.in/images_olxin/344104323_1_144x108_i5-4th-gen-4gb-500-gb-dvd-rw-19-dell-led-rs-19000-bengaluru.jpg
Branded Intel Core 2 Duo (DDR3),Rs. 5490,olx.in,https://www.olx.in/item/branded-intel-core-2-duo-ddr3-ID1eLgAb.html#d1c6af3941,https://img01.olx.in/images_olxin/403559059_2_144x108_branded-intel-core-2-duo-ddr3-upload-photos.jpg
all company laptop 2gb 250 gb webcam,Rs. 5600,olx.in,https://www.olx.in/item/all-company-laptop-2gb-250-gb-webcam-ID1fpvy9.html#d1c6af3941,https://img01.olx.in/images_olxin/420329935_2_144x108_all-company-laptop-2gb-250-gb-webcam-upload-photos_rev001.jpg
Intel Core i3 & i5 Branded PC,Rs. 11000,olx.in,https://www.olx.in/item/intel-core-i3-i5-branded-pc-ID1f5l9L.html#d1c6af3941,https://img01.olx.in/images_olxin/411909847_1_144x108_intel-core-i3-i5-branded-pc-surat.jpg
"4GB RAM//320GB HDD,Hp Elitebook 8440P,Core i5,With Bill And Warranty",Rs. 13900,olx.in,https://www.olx.in/item/4gb-ram-320gb-hdd-hp-elitebook-8440p-core-i5-with-bill-and-warranty-ID17aOfY.html#d1c6af3941,https://img01.olx.in/images_olxin/224703639_1_144x108_4gb-ram-320gb-hddhp-elitebook-8440pcore-i5with-bill-and-warranty-noida.jpg
Black Desktop Computer Set,Rs. 25000,olx.in,https://www.olx.in/item/black-desktop-computer-set-ID1fyUWd.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424267421_1_144x108_black-desktop-computer-set-kolkata.jpg
New acer laptop under warranty only 7 months used,Rs. 40000,olx.in,https://www.olx.in/item/new-acer-laptop-under-warranty-only-7-months-used-ID1fyUUn.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424267325_1_144x108_new-acer-laptop-under-warranty-only-7-months-used-mohali.jpg
excellent looks like new laptop in just rs.15999,Rs. 15999,olx.in,https://www.olx.in/item/excellent-looks-like-new-laptop-in-just-rs-15999-IDUiqQT.html#4cd7ea0b57,https://img01.olx.in/images_olxin/70001327_2_144x108_excellent-looks-like-new-laptop-in-just-rs15999-upload-photos.jpg
Hp ELitebook Showroom Condition Like New Core i5 Laptop With Warranty,Rs. 16999,olx.in,https://www.olx.in/item/hp-elitebook-showroom-condition-like-new-core-i5-laptop-with-warranty-ID17E059.html#4cd7ea0b57,https://img05.olx.in/images_olxin/234658387_1_144x108_hp-elitebook-showroom-condition-like-new-core-i5-laptop-with-warranty-delhi.jpg
